,row_1993_data
Diarrheal_diseases,0.0008809537391513116
Lower_respiratory_infections,0.0005381097002666287
Neonatal_disorders,0.0004317004670526363
Nutritional_deficiencies,0.00041688642930266264
Protein_energy_malnutrition,0.0003500866702845387
Tuberculosis,0.00030402866588421715
Drowning,0.00015947592058198636
Meningitis,9.220636692925006e-05
Acute_hepatitis,5.442349184307934e-05
Maternal_disorders,4.25251629152417e-05
Malaria,2.8736163807349972e-05
Self_harm,1.8328713348923244e-05
Interpersonal_violence,1.487496926071396e-05
Fire__heat__and_hot_substances,8.515639715997523e-06
Environmental_heat_and_cold_exposure,8.37954466371285e-06
Poisonings,4.298666197588203e-06
Chronic_respiratory_diseases,2.6843331071348966e-06
Road_injuries_,1.209818225072042e-06
Alcohol_use_disorders,-5.169114332852353e-07
Drug_use_disorders,-4.862803144896585e-06
Digestive_diseases,-1.1954854418498302e-05
Cirrhosis_and_other_chronic_liver_diseases,-2.4535581395837948e-05
Parkinson_s_disease,-7.153968213404301e-05
Exposure_to_forces_of_nature,-7.464687081641712e-05
Conflict_and_terrorism,-7.577042521529008e-05
Diabetes_mellitus,-0.0002508513296573692
Cardiovascular_diseases,-0.00026047579344845237
Chronic_kidney_disease,-0.0002838203006908075
Alzheimer_s_disease_and_other_dementias,-0.00039252450899022193
Neoplasms,-0.0004524494272066101
HIV_AIDS,-0.0009188617119143525
