,row_1992_data
Diarrheal_diseases,0.0011666138879579731
Lower_respiratory_infections,0.0006846093426028073
Neonatal_disorders,0.0005519764802137559
Nutritional_deficiencies,0.0005417579604631705
Protein_energy_malnutrition,0.0004539104642595276
Tuberculosis,0.00041506269748377853
Drowning,0.00018134721755541444
Meningitis,0.00011697066843885796
Acute_hepatitis,6.51411499381924e-05
Maternal_disorders,6.002353393580012e-05
Malaria,3.500718548071779e-05
Self_harm,1.3238377316193586e-05
Fire__heat__and_hot_substances,8.051873457998442e-06
Poisonings,4.163775521087988e-06
Interpersonal_violence,4.038176739071882e-06
Road_injuries_,2.2063630004002046e-06
Environmental_heat_and_cold_exposure,2.0124995499144895e-06
Chronic_respiratory_diseases,2.003855949012014e-06
Alcohol_use_disorders,-5.898107851757869e-06
Drug_use_disorders,-9.523166472729397e-06
Digestive_diseases,-1.3470295438531297e-05
Cirrhosis_and_other_chronic_liver_diseases,-2.9450655706582006e-05
Conflict_and_terrorism,-7.427994202463528e-05
Parkinson_s_disease,-7.930796795080369e-05
Exposure_to_forces_of_nature,-0.0001681553770936836
Diabetes_mellitus,-0.0002857113891813043
Chronic_kidney_disease,-0.0003020768235427486
Cardiovascular_diseases,-0.0003605399153105097
Alzheimer_s_disease_and_other_dementias,-0.00043722920414474573
Neoplasms,-0.0005350789366147879
HIV_AIDS,-0.0015663752459713588
