,row_1990_data
Diarrheal_diseases,0.00139438910030218
Lower_respiratory_infections,0.0009448597403745101
Nutritional_deficiencies,0.0008186305721466051
Neonatal_disorders,0.0007761928234513715
Protein_energy_malnutrition,0.0006958659121982613
Tuberculosis,0.0004294044653384002
Drowning,0.00024505403899614656
Meningitis,0.0001507175566685051
Acute_hepatitis,8.176094099131677e-05
Maternal_disorders,7.85084150468333e-05
Malaria,3.669021386619681e-05
Conflict_and_terrorism,1.2464047936864772e-05
Fire__heat__and_hot_substances,8.877114797712477e-06
Self_harm,6.28550271459334e-06
Poisonings,5.488081701099471e-06
Road_injuries_,4.662873787957683e-06
Exposure_to_forces_of_nature,2.850621254080482e-06
Environmental_heat_and_cold_exposure,2.0299408758370633e-07
Chronic_respiratory_diseases,-9.316671782343936e-08
Interpersonal_violence,-4.803286984457155e-07
Digestive_diseases,-1.6804412414894807e-05
Alcohol_use_disorders,-2.2310417722881887e-05
Drug_use_disorders,-3.0310553648109346e-05
Cirrhosis_and_other_chronic_liver_diseases,-3.56065363651683e-05
Parkinson_s_disease,-9.301352767806772e-05
Chronic_kidney_disease,-0.0003492273698415386
Diabetes_mellitus,-0.0003594478804665063
Cardiovascular_diseases,-0.0004439673183884423
Alzheimer_s_disease_and_other_dementias,-0.000559134331706913
Neoplasms,-0.0006887669084989327
HIV_AIDS,-0.0033616386602331443
