,row_1994_data
Conflict_and_terrorism,0.0027307022543669257
Diarrheal_diseases,0.0006354374388789384
Lower_respiratory_infections,0.00037457323251926123
Nutritional_deficiencies,0.0003038438373935493
Neonatal_disorders,0.0003031535875509424
Protein_energy_malnutrition,0.0002571638087197929
Tuberculosis,0.0002140376746677811
Drowning,0.00013273584081220538
Meningitis,6.455683893862431e-05
Acute_hepatitis,4.149860900526077e-05
Maternal_disorders,3.284540028868809e-05
Self_harm,2.3586475354388584e-05
Environmental_heat_and_cold_exposure,1.4751380807969706e-05
Interpersonal_violence,1.4560093633227307e-05
Malaria,1.3296812542343945e-05
Fire__heat__and_hot_substances,7.827601564318573e-06
Poisonings,3.388778892654369e-06
Road_injuries_,3.402582570662452e-07
Alcohol_use_disorders,1.3975471940497628e-07
Chronic_respiratory_diseases,4.774927651863235e-08
Drug_use_disorders,-1.9563193976152824e-06
Digestive_diseases,-1.6893762102160054e-05
Cirrhosis_and_other_chronic_liver_diseases,-2.570845017465747e-05
Parkinson_s_disease,-6.999617812039735e-05
Exposure_to_forces_of_nature,-0.00016517650680935594
Diabetes_mellitus,-0.00023486776275083616
Chronic_kidney_disease,-0.00027403549592306146
Cardiovascular_diseases,-0.000294010006045807
Alzheimer_s_disease_and_other_dementias,-0.00036627778462812303
Neoplasms,-0.00045995661754325966
HIV_AIDS,-0.0004650889603030838
